date,home_team_fg,away_team_fg,model_prob,market_prob,edge,bet_side,kelly_pct,bet_dollars,outcome_home_win,pnl,bankroll,month
2023-03-30,KCR,MIN,0.411,0.4128,-0.0018,,0.0,0.0,0,0.0,1000.0,2023-03
2023-03-30,MIA,NYM,0.4227,0.4629,0.0402,NO,0.0348,34.77,0,29.97,1029.97,2023-03
2023-03-30,CHC,MIL,0.463,0.4458,0.0172,,0.0,0.0,1,0.0,1029.97,2023-03
2023-03-30,TBR,DET,0.6758,0.6756,0.0002,,0.0,0.0,1,0.0,1029.97,2023-03
2023-03-30,TEX,PHI,0.5677,0.5604,0.0073,,0.0,0.0,1,0.0,1029.97,2023-03
2023-03-30,CIN,PIT,0.5318,0.5548,-0.023,,0.0,0.0,0,0.0,1029.97,2023-03
2023-03-30,HOU,CHW,0.5735,0.5639,0.0096,,0.0,0.0,0,0.0,1029.97,2023-03
2023-03-30,WSN,ATL,0.3082,0.3083,-0.0001,,0.0,0.0,0,0.0,1029.97,2023-03
2023-03-30,SDP,COL,0.6622,0.6571,0.0051,,0.0,0.0,0,0.0,1029.97,2023-03
2023-03-30,SEA,CLE,0.5649,0.5228,0.0421,YES,0.0353,36.33,1,33.16,1063.13,2023-03
2023-03-30,NYY,SFG,0.6038,0.6104,-0.0066,,0.0,0.0,1,0.0,1063.13,2023-03
2023-03-30,STL,TOR,0.5163,0.4989,0.0174,,0.0,0.0,0,0.0,1063.13,2023-03
2023-03-30,BOS,BAL,0.5431,0.53,0.0131,,0.0,0.0,0,0.0,1063.13,2023-03
2023-03-30,LAD,ARI,0.5751,0.6068,-0.0317,,0.0,0.0,1,0.0,1063.13,2023-03
2023-03-30,OAK,LAA,0.3679,0.3423,0.0256,,0.0,0.0,1,0.0,1063.13,2023-03
2023-03-31,SDP,COL,0.6414,0.6384,0.003,,0.0,0.0,0,0.0,1063.13,2023-03
2023-03-31,LAD,ARI,0.5248,0.633,-0.1082,,0.0,0.0,0,0.0,1063.13,2023-03
2023-03-31,SEA,CLE,0.5757,0.5959,-0.0202,,0.0,0.0,0,0.0,1063.13,2023-03
2023-03-31,MIA,NYM,0.5148,0.5009,0.0139,,0.0,0.0,1,0.0,1063.13,2023-03
2023-03-31,HOU,CHW,0.574,0.5835,-0.0095,,0.0,0.0,1,0.0,1063.13,2023-03
2023-04-01,WSN,ATL,0.3246,0.3118,0.0128,,0.0,0.0,0,0.0,1063.13,2023-04
2023-04-01,NYY,SFG,0.5536,0.5631,-0.0095,,0.0,0.0,0,0.0,1063.13,2023-04
2023-04-01,HOU,CHW,0.5437,0.5609,-0.0172,,0.0,0.0,1,0.0,1063.13,2023-04
2023-04-01,CIN,PIT,0.5874,0.571,0.0164,,0.0,0.0,1,0.0,1063.13,2023-04
2023-04-01,KCR,MIN,0.4032,0.4062,-0.003,,0.0,0.0,0,0.0,1063.13,2023-04
2023-04-01,SEA,CLE,0.5805,0.5561,0.0244,,0.0,0.0,0,0.0,1063.13,2023-04
2023-04-01,STL,TOR,0.4537,0.4467,0.007,,0.0,0.0,1,0.0,1063.13,2023-04
2023-04-01,OAK,LAA,0.3499,0.3969,-0.047,,0.0,0.0,0,0.0,1063.13,2023-04
2023-04-01,CHC,MIL,0.4524,0.4789,-0.0265,,0.0,0.0,0,0.0,1063.13,2023-04
2023-04-01,TBR,DET,0.5952,0.6231,-0.0279,,0.0,0.0,1,0.0,1063.13,2023-04
2023-04-01,LAD,ARI,0.6577,0.7001,-0.0424,,0.0,0.0,1,0.0,1063.13,2023-04
2023-04-01,MIA,NYM,0.4121,0.504,0.0919,NO,0.0729,77.53,0,78.78,1141.91,2023-04
2023-04-01,TEX,PHI,0.4497,0.4682,-0.0185,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-01,BOS,BAL,0.5525,0.584,-0.0315,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-01,SDP,COL,0.6974,0.6745,0.0229,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,TBR,DET,0.5471,0.7009,-0.1538,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,TEX,PHI,0.5028,0.5375,-0.0347,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,CIN,PIT,0.5435,0.5455,-0.002,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,OAK,LAA,0.409,0.4181,-0.0091,,0.0,0.0,0,0.0,1141.91,2023-04
2023-04-02,LAD,ARI,0.5584,0.6304,-0.072,,0.0,0.0,0,0.0,1141.91,2023-04
2023-04-02,MIA,NYM,0.4405,0.4735,-0.033,,0.0,0.0,0,0.0,1141.91,2023-04
2023-04-02,SEA,CLE,0.5037,0.5139,-0.0102,,0.0,0.0,0,0.0,1141.91,2023-04
2023-04-02,SDP,COL,0.672,0.6473,0.0247,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,WSN,ATL,0.4067,0.3853,0.0214,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,KCR,MIN,0.4161,0.43,-0.0139,,0.0,0.0,0,0.0,1141.91,2023-04
2023-04-02,HOU,CHW,0.5543,0.5713,-0.017,,0.0,0.0,0,0.0,1141.91,2023-04
2023-04-02,NYY,SFG,0.5524,0.5534,-0.001,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,STL,TOR,0.5138,0.517,-0.0032,,0.0,0.0,1,0.0,1141.91,2023-04
2023-04-02,BOS,BAL,0.5085,0.5598,0.0513,NO,0.0367,41.89,1,-41.89,1100.02,2023-04
2023-04-02,CHC,MIL,0.5254,0.5324,-0.007,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,NYY,PHI,0.5253,0.6121,-0.0868,,0.0,0.0,1,0.0,1100.02,2023-04
2023-04-03,CIN,CHC,0.4629,0.48,-0.0171,,0.0,0.0,1,0.0,1100.02,2023-04
2023-04-03,MIL,NYM,0.5359,0.5039,0.032,,0.0,0.0,1,0.0,1100.02,2023-04
2023-04-03,HOU,DET,0.6565,0.6804,-0.0239,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,BOS,PIT,0.5692,0.5815,-0.0123,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,STL,ATL,0.4426,0.4705,-0.0279,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,TEX,BAL,0.5496,0.5622,-0.0126,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,OAK,CLE,0.4094,0.4185,-0.0091,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,LAD,COL,0.6792,0.6617,0.0175,,0.0,0.0,1,0.0,1100.02,2023-04
2023-04-03,KCR,TOR,0.449,0.449,-0.0,,0.0,0.0,1,0.0,1100.02,2023-04
2023-04-03,CHW,SFG,0.559,0.5565,0.0025,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,SDP,ARI,0.5627,0.5658,-0.0031,,0.0,0.0,1,0.0,1100.02,2023-04
2023-04-03,SEA,LAA,0.572,0.5613,0.0107,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,WSN,TBR,0.3929,0.3807,0.0122,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-03,MIA,MIN,0.4848,0.4646,0.0202,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-04,NYY,PHI,0.488,0.5919,-0.1039,,0.0,0.0,0,0.0,1100.02,2023-04
2023-04-04,OAK,CLE,0.3778,0.3696,0.0082,,0.0,0.0,1,0.0,1100.02,2023-04
