date,home_team_fg,away_team_fg,model_home_prob,market_home_prob,edge,recommended_side,kelly_pct,suggested_dollars,home_win,theoretical_pnl,actual_side,actual_dollars,actual_pnl,notes
2026-08-05,PHI,WSN,0.6067,0.7384,-0.1317,NO,0.0892,4.46,0.0,12.59,,,,
2026-08-05,CHC,LAD,0.5638,0.4739,0.0899,YES,0.0854,4.27,1.0,4.74,,,,
2026-08-05,MIL,PIT,0.6304,0.5592,0.0712,YES,0.0808,4.04,1.0,3.18,,,,
2026-08-05,BAL,LAA,0.5422,0.602,-0.0598,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,NYY,STL,0.5683,0.6268,-0.0585,none,0.0,0.0,0.0,0.0,,,,
2026-08-05,ATL,MIA,0.5529,0.5877,-0.0348,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,SEA,DET,0.5714,0.5372,0.0342,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,ARI,SDP,0.5338,0.5128,0.021,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,CLE,NYM,0.512,0.4971,0.0149,none,0.0,0.0,0.0,0.0,,,,
2026-08-05,CIN,OAK,0.6034,0.5885,0.0149,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,KCR,MIN,0.5257,0.5191,0.0066,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,BOS,CHW,0.6196,0.6196,0.0,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,HOU,TOR,0.5571,,0.0,none,0.0,0.0,0.0,0.0,,,,
2026-08-05,TEX,SFG,0.566,,0.0,none,0.0,0.0,1.0,0.0,,,,
2026-08-05,COL,TBR,0.4814,,0.0,none,0.0,0.0,0.0,0.0,,,,
2026-08-06,MIL,PIT,0.6633,0.5328,0.1305,YES,0.075,7.42,1.0,6.51,home,7.0,6.14,
2026-08-06,BAL,LAA,0.5302,0.4168,0.1134,YES,0.075,7.42,0.0,-7.42,,,,
2026-08-06,PHI,WSN,0.6549,0.7521,-0.0972,NO,0.0517,5.12,1.0,-5.12,away,3.0,-3.0,
2026-08-06,CLE,NYM,0.4994,0.4153,0.0841,YES,0.0575,5.7,0.0,-5.7,,,,
2026-08-06,CHC,TOR,0.5641,0.4873,0.0768,YES,0.0599,5.93,1.0,6.24,home,3.75,3.95,
2026-08-06,ARI,SDP,0.5419,0.4995,0.0424,none,0.0,0.0,0.0,0.0,,,,
2026-08-06,BOS,CHW,0.6014,0.6295,-0.0281,none,0.0,0.0,1.0,0.0,,,,
2026-08-06,ATL,MIA,0.5464,0.5732,-0.0268,none,0.0,0.0,1.0,0.0,,,,
2026-08-06,CIN,OAK,0.5961,0.6198,-0.0237,none,0.0,0.0,1.0,0.0,away,1.0,-1.0,
2026-08-06,SEA,DET,0.5358,0.5273,0.0085,none,0.0,0.0,0.0,0.0,,,,
2026-08-06,KCR,MIN,0.5397,0.5345,0.0052,none,0.0,0.0,0.0,0.0,,,,
