date,home_team_fg,away_team_fg,market_home_prob
2026-08-05,BAL,LAA,0.9674
2026-08-05,CIN,OAK,0.8655
2026-08-05,CLE,NYM,0.8113
2026-08-05,PHI,WSN,0.636
2026-08-05,BOS,CHW,0.8782
2026-08-05,ATL,MIA,0.9279
2026-08-05,MIL,PIT,0.9162
2026-08-05,KCR,MIN,0.5401
2026-08-05,NYY,STL,0.6268
2026-08-05,ARI,SDP,0.4412
2026-08-05,SEA,DET,0.5829
2026-08-05,BAL,LAA,0.602
2026-08-05,CIN,OAK,0.5885
2026-08-05,CLE,NYM,0.4971
2026-08-05,MIL,PIT,0.5592
2026-08-05,CHC,TOR,0.4739
2026-08-05,SEA,DET,0.5372
2026-08-05,PHI,WSN,0.7384
2026-08-05,BOS,CHW,0.6196
2026-08-05,ATL,MIA,0.5877
2026-08-05,KCR,MIN,0.5191
2026-08-05,ARI,SDP,0.5128
2026-08-06,BAL,LAA,0.4168
2026-08-06,CIN,OAK,0.6198
2026-08-06,CLE,NYM,0.4153
2026-08-06,MIL,PIT,0.5328
2026-08-06,CHC,TOR,0.4873
2026-08-06,SEA,DET,0.5273
2026-08-06,PHI,WSN,0.7521
2026-08-06,BOS,CHW,0.6295
2026-08-06,ATL,MIA,0.5732
2026-08-06,KCR,MIN,0.5345
2026-08-06,ARI,SDP,0.4995
2026-08-06,TEX,BAL,0.5635
2026-08-06,STL,COL,0.579
2026-08-06,SDP,HOU,0.5154
2026-08-07,SDP,HOU,0.0337
2026-08-07,SFG,DET,0.9774
2026-08-07,NYY,ATL,0.4508
2026-08-07,BOS,OAK,0.6773
2026-08-07,MIA,LAA,0.5892
2026-08-07,PHI,TOR,0.587
2026-08-07,PIT,NYM,0.5609
2026-08-07,WSN,CIN,0.4314
2026-08-07,KCR,CHC,0.397
2026-08-07,MIL,MIN,0.5797
2026-08-07,TEX,BAL,0.5722
2026-08-07,CHW,CLE,0.4555
2026-08-07,STL,COL,0.5857
2026-08-07,SFG,DET,0.4956
2026-08-07,SDP,HOU,0.5271
2026-08-07,ARI,LAD,0.387
2026-08-07,SEA,TBR,0.5258
2026-08-08,NYY,ATL,0.4228
2026-08-08,BOS,OAK,0.7014
2026-08-08,MIA,LAA,0.5961
2026-08-08,PHI,TOR,0.6043
2026-08-08,PIT,NYM,0.5359
2026-08-08,WSN,CIN,0.4262
2026-08-08,KCR,CHC,0.4016
2026-08-08,MIL,MIN,0.5659
2026-08-08,TEX,BAL,0.5772
2026-08-08,CHW,CLE,0.4429
2026-08-08,STL,COL,0.588
2026-08-08,SFG,DET,0.4765
2026-08-08,SDP,HOU,0.5246
2026-08-08,ARI,LAD,0.3598
2026-08-08,SEA,TBR,0.5199
2026-08-09,WSN,CIN,0.6588
2026-08-09,BOS,OAK,0.6651
2026-08-09,NYY,ATL,0.5693
2026-08-09,PIT,NYM,0.5722
2026-08-09,PHI,TOR,0.6773
2026-08-09,MIA,LAA,0.5725
2026-08-09,KCR,CHC,0.3986
2026-08-09,CHW,CLE,0.4553
2026-08-09,MIL,MIN,0.707
2026-08-09,STL,COL,0.6014
2026-08-09,TEX,BAL,0.5475
2026-08-09,SFG,DET,0.467
2026-08-09,ARI,LAD,0.4243
2026-08-09,SEA,TBR,0.5012
2026-08-09,SDP,HOU,0.5284
2026-08-10,TOR,BOS,0.4121
2026-08-10,ATL,NYM,0.5744
2026-08-10,MIN,BAL,0.4837
2026-08-10,STL,PHI,0.477
2026-08-10,LAA,TEX,0.4826
2026-08-10,ARI,COL,0.6452
2026-08-10,OAK,TBR,0.4079
2026-08-10,SDP,MIL,0.4781
2026-08-10,SFG,HOU,0.4161
2026-08-10,LAD,KCR,0.7319
2026-08-11,DET,CLE,0.5379
2026-08-11,MIA,PIT,0.4831
2026-08-11,WSN,CHC,0.397
2026-08-11,NYY,SEA,0.5476
2026-08-11,TOR,BOS,0.5702
2026-08-11,ATL,NYM,0.545
2026-08-11,MIN,BAL,0.5152
2026-08-11,CHW,CIN,0.5907
2026-08-11,STL,PHI,0.393
2026-08-11,LAA,TEX,0.4362
2026-08-11,ARI,COL,0.6185
2026-08-11,OAK,TBR,0.3898
2026-08-11,SDP,MIL,0.439
2026-08-11,SFG,HOU,0.3681
2026-08-11,LAD,KCR,0.7036
